BER,OSNR,InputPower
0.007387259,23.2,-7.92
0.007670486,22.9,-7.92
0.007927564,22.9,-7.9
0.00789806,22.6,-7.92
0.007953951,22.9,-7.9
0.007907339,22.6,-7.92
0.007573009,22.9,-7.9
0.007371938,22.6,-7.92
0.007665248,22.3,-7.92
0.007961831,22.6,-7.9
0.008046003,22.6,-7.9
0.007806988,23.2,-7.92
0.00781888,22.9,-7.9
0.008011315,23.2,-7.9
0.007896458,22.9,-7.92
0.009880325,21.8,-8.33
0.01037039,21.8,-8.52
0.01078298,21.2,-8.51
0.01079165,21.5,-8.52
0.0108589,21.5,-8.52
0.001887942,29.6,-5.17
0.001932152,28.3,-5.17
0.001929926,29.1,-5.17
0.001773794,28.7,-5.17
0.001810632,29.6,-5.13
0.001610783,29.1,-5.14
0.003264563,27.4,-6.19
0.003321257,27.0,-6.18
0.003596422,25.9,-6.4
0.0036021,26.6,-6.37
0.003533415,25.5,-6.28
0.003278604,25.9,-6.32
0.003311988,26.6,-6.37
0.00325999,25.9,-6.35
0.00358966,26.6,-6.35
0.003534386,26.3,-6.35
0.003687008,26.6,-6.35
0.003308821,27.4,-6.35
0.005028804,24.8,-7.0
0.004663569,25.2,-7.0
0.004944826,24.2,-7.0
0.00457144,25.2,-7.0
0.004982907,25.2,-7.02
0.004962384,25.2,-6.97
0.004985186,25.2,-7.0
0.004874879,25.2,-7.0
0.004744571,25.2,-6.97
0.005905128,24.2,-7.32
0.005457785,23.5,-7.35
0.005854739,23.8,-7.35
0.005906197,23.8,-7.35
0.005681224,23.8,-7.31
0.005876866,23.8,-7.31
0.00623783,23.2,-7.5
0.006216201,24.2,-7.51
0.006271375,23.5,-7.51
0.006413787,23.5,-7.51
0.005940714,24.2,-7.51
0.005994998,23.5,-7.48
0.006294429,23.5,-7.51
0.006169461,24.2,-7.39
0.006873286,23.2,-7.75
0.007160841,23.2,-7.78
0.008425685,22.3,-8.06
0.007968514,22.3,-8.07
0.008072495,22.6,-8.1
0.00835097,22.6,-8.08
0.009504925,22.6,-8.36
0.009576657,22.6,-8.4
0.009620501,21.8,-8.36
0.009966934,21.8,-8.29
0.009818856,22.1,-8.29
0.009592716,22.3,-8.38
0.00912076,22.6,-8.35
0.009546011,22.1,-8.38
0.009533998,22.3,-8.36
0.009186519,22.1,-8.36
0.008864746,22.6,-8.4
0.009455618,22.1,-8.36
0.009766327,21.8,-8.54
0.009916328,21.5,-8.54
0.01047311,21.5,-8.55
0.01055952,21.2,-8.59
0.0103754,21.5,-8.59
0.009880902,21.8,-8.54
0.01011988,21.8,-8.54
0.01089315,21.2,-8.66
0.01115394,21.8,-8.66
0.01137665,21.2,-8.8
0.01133488,21.5,-8.79
0.01240595,21.5,-8.98
0.01294845,21.2,-9.04
0.01315132,21.0,-9.04
0.01347498,20.7,-9.04
0.01325691,20.7,-9.04
0.001857461,28.3,-5.13
0.001837903,29.6,-5.12
0.001941913,29.6,-5.13
0.001836188,30.1,-5.08
0.001983839,28.7,-5.13
0.001757351,29.1,-5.13
0.001858689,29.1,-5.17
0.001886652,28.3,-5.18
0.00188311,28.7,-5.01
0.002391014,28.3,-5.58
0.002313815,27.8,-5.58
0.002148611,27.4,-5.57
0.002431479,27.8,-5.58
0.002222594,27.4,-5.58
0.002528303,28.3,-5.7
0.002588337,27.8,-5.71
